,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7,0.04238533973693848,0.0013497653131403445,0.010378122329711914,0.00026425649631577443,20,20,"{'max_depth': 20, 'n_estimators': 20}",0.6078431372549019,0.6554621848739496,0.6834733893557423,0.6489262371615313,0.031219894486088706,1,0.9957983193277311,0.9957983193277311,0.9971988795518207,0.996265172735761,0.0006602304212759524
5,0.08643007278442383,0.01113501925361699,0.016889651616414387,0.003991679821813751,10,30,"{'max_depth': 10, 'n_estimators': 30}",0.6162464985994398,0.6554621848739496,0.6666666666666666,0.6461251167133519,0.02161687563546258,2,0.9635854341736695,0.9523809523809523,0.9607843137254902,0.9589169000933707,0.004760989275063325
10,0.060616254806518555,0.01231836590540391,0.0182492733001709,0.006401260859505318,30,20,"{'max_depth': 30, 'n_estimators': 20}",0.6022408963585434,0.6694677871148459,0.6610644257703081,0.6442577030812324,0.0299077822185751,3,0.9985994397759104,1.0,1.0,0.9995331465919701,0.0006602304212759524
8,0.06397263209025066,0.0018341623503995794,0.013561010360717773,0.0010987969889535388,20,30,"{'max_depth': 20, 'n_estimators': 30}",0.6022408963585434,0.6554621848739496,0.6498599439775911,0.6358543417366946,0.023878080023425646,4,0.9971988795518207,0.9985994397759104,0.9985994397759104,0.9981325863678805,0.0006602304212759524
4,0.04139049847920736,0.0017379143893523062,0.010369141896565756,0.0004726633481700824,10,20,"{'max_depth': 10, 'n_estimators': 20}",0.5770308123249299,0.6330532212885154,0.6862745098039216,0.6321195144724556,0.04460343944909876,5,0.9509803921568627,0.9649859943977591,0.9677871148459384,0.9612511671335201,0.007352014821673051
11,0.06832464536031087,0.0049083539344795335,0.01468189557393392,0.001917160845622274,30,30,"{'max_depth': 30, 'n_estimators': 30}",0.5910364145658263,0.6330532212885154,0.6638655462184874,0.6293183940242764,0.029849425514744673,6,0.9985994397759104,0.9985994397759104,1.0,0.9990662931839402,0.0006602304212759524
1,0.04107522964477539,0.0011227326237173993,0.010905822118123373,0.00018550296764001048,6,20,"{'max_depth': 6, 'n_estimators': 20}",0.5938375350140056,0.6442577030812325,0.6470588235294118,0.6283846872082166,0.0244552770377382,7,0.7969187675070029,0.8165266106442577,0.7464985994397759,0.7866479925303455,0.029496860875688726
6,0.02379163106282552,0.0005163884564757719,0.009737094243367514,0.0012164536835675651,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.5966386554621849,0.6470588235294118,0.6330532212885154,0.6255835667600373,0.021250806119030904,8,0.9845938375350141,0.9803921568627451,0.9845938375350141,0.9831932773109244,0.0019806912638279097
3,0.022782166798909504,0.0010200847190417529,0.008695522944132486,0.0004735057940703908,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.5854341736694678,0.6470588235294118,0.6330532212885154,0.6218487394957983,0.0263761846719431,9,0.9397759103641457,0.9481792717086834,0.907563025210084,0.9318394024276376,0.017505446553924053
9,0.02407995859781901,0.000818384089133737,0.009191036224365234,0.0009654176415265105,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.5714285714285714,0.6470588235294118,0.6358543417366946,0.6181139122315593,0.033326924925443056,10,0.9789915966386554,0.9719887955182073,0.988795518207283,0.9799253034547153,0.006893007964628129
2,0.05857388178507487,0.0012032223346167732,0.0128938357035319,0.00077610396175172,6,30,"{'max_depth': 6, 'n_estimators': 30}",0.5602240896358543,0.6554621848739496,0.6302521008403361,0.61531279178338,0.04029028760110442,11,0.773109243697479,0.788515406162465,0.7857142857142857,0.7824463118580766,0.006700606953504796
0,0.07808740933736165,0.07913521690968192,0.011734088261922201,0.00422295842806066,6,10,"{'max_depth': 6, 'n_estimators': 10}",0.5322128851540616,0.6386554621848739,0.6414565826330533,0.6041083099906629,0.05085060244328703,12,0.7591036414565826,0.7591036414565826,0.7759103641456583,0.7647058823529411,0.007922765055311481
